beruf,bl,bundesland,trend_3y,trend_window,share_label,count_year,count_latest,group_id,beruf_id
Compliance-ManagerIn,AT21,Kärnten,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,25.0,285,1250
Compliance-ManagerIn,AT22,Steiermark,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,74.0,285,1250
Compliance-ManagerIn,AT31,Oberösterreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,148.0,285,1250
Compliance-ManagerIn,AT32,Salzburg,tendenziell,2026-2028,30% - geringer Anteil,2025.0,65.0,285,1250
Compliance-ManagerIn,AT33,Tirol,tendenziell,2026-2028,30% - geringer Anteil,2025.0,91.0,285,1250
Compliance-ManagerIn,AT34,Vorarlberg,tendenziell,2026-2028,0% - sehr geringer Anteil,,,285,1250
FinanzmanagerIn,AT,Österreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,2608.0,285,1239
FinanzmanagerIn,AT11,Burgenland,gleichbleibend,2026-2028,30% - geringer Anteil,,,285,1239
FinanzmanagerIn,AT12,Niederösterreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,180.0,285,1239
FinanzmanagerIn,AT13,Wien,gleichbleibend,2026-2028,50% - mittlerer Anteil,2025.0,1017.0,285,1239
FinanzmanagerIn,AT21,Kärnten,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,83.0,285,1239
FinanzmanagerIn,AT22,Steiermark,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,252.0,285,1239
FinanzmanagerIn,AT31,Oberösterreich,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,317.0,285,1239
FinanzmanagerIn,AT32,Salzburg,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,210.0,285,1239
FinanzmanagerIn,AT33,Tirol,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,228.0,285,1239
FinanzmanagerIn,AT34,Vorarlberg,gleichbleibend,2026-2028,30% - geringer Anteil,2025.0,82.0,285,1239
Human-Resources-ManagerIn,AT,Österreich,tendenziell,2026-2028,74% - hoher Anteil,2025.0,8326.0,285,1191
