posting_uid,title,title_clean,role_family,normalized_title,role_rule,source
linkedin:4455889033,"Senior Consultant Search, Content & AI Visibility (SEO/GEO) (m/w/d), Bregenz","senior consultant search , content & ai visibility seo / geo , bregenz",ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,linkedin
linkedin:4461769447,The AITHYRA International PhD Call in AI for Biomedicine (all genders),the aithyra international phd call in ai for biomedicine,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,linkedin
karriere:7875439,Senior KI Developer:in (m/w/d),senior ki developer,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer","(?:\bai\b|\bki\b|\bml\b|machine learning|\bllm|genai|generative|deep learning|computer vision|\bnlp\b)[^,]{0,40}(?:software|backend|platform|devops|cloud|full ?stack|frontend|developer|entwickler|programmier|agent)",karriere
karriere:7849274,AI and Digitalization Operations Manager (m/f/d),ai and digitalization operations manager,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,karriere
linkedin:4412167944,"Director - Hardware Engineering, AI Infrastructure Systems","director hardware engineering , ai infrastructure systems",ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,linkedin
karriere:10029085,"Sales, Marketing & AI Assistent (w/m/d)","sales , marketing & ai assistent",ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,karriere
willhaben:13260282,AI & Digital Transformation Engineer (m/w/d) I Standort: Graz I Teilzeit,ai & digital transformation engineer i,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,willhaben
eures:MTczMjMxMTAgNDM,Expert*in für digitalen Datenaustausch,expert für digitalen datenaustausch,out_of_scope,,datenaustausch,eures
linkedin:4450605904,(Senior) Microsoft Purview / Data Protection Consultant / Architect (w/m/x),senior microsoft purview / data protection consultant / architect,out_of_scope,,datenschutz|data protection|privacy officer|\bdsgvo\b|\bgdpr\b,linkedin
eures:MTczNTEyNDEgNDM,Key Account Manager - Data & Market Intelligence,key account manager data & market intelligence,out_of_scope,,\bkey account\b,eures
linkedin:4426860538,Cyber Threat Intelligence Analyst (m/w/x) - Operative Security,cyber threat intelligence analyst operative security,out_of_scope,,\bsecurity\b|\bsicherheit|\bcyber|\bsoc\b|\bthreat\b|penetration,linkedin
linkedin:4425831207,HR Mitarbeiter:in – Schwerpunkt HR-Administration & Datenpflege (befristet bis 30.12.2028),hr mitarbeiter schwerpunkt hr administration & datenpflege bis 30.12.2028,out_of_scope,,datenpflege,linkedin
eures:MTcwNjQ4OTkgNDM,Biomedizinische/r Analytiker/in (m/w/d) für das Zentrallabor,biomedizinische / r analytiker für das zentrallabor,out_of_scope,,biomedizinisch,eures
karriere:7849370,System Solution Engineer - Optical Interconnect CMOS ICs for Datacom (d/​m/​f),system solution engineer optical interconnect cmos ics for datacom d / ​m / ​f,out_of_scope,,no_rule_matched,karriere
eures:MTcwNjExNzAgNDM,Projektleiter_in Elektrotechnik - Datacenter,projektleiter elektrotechnik datacenter,out_of_scope,,data ?cent(?:er|re),eures
eures:MTczMzE5MjEgNDM,Biomedizinische:r Analytiker:in (m/w/d),biomedizinische : r analytiker,out_of_scope,,biomedizinisch,eures
karriere:10029430,"Water Treatment Technician, Data Centers","water treatment technician , data centers",out_of_scope,,data ?cent(?:er|re),karriere
willhaben:13268464,IT Specialist – KI & Automatisierung (m/w/d),it specialist ki & automatisierung,out_of_scope,,no_rule_matched,willhaben
karriere:7857848,Biomedizinische Analytikerin bzw. Biomedizinischer Analytiker,biomedizinische analytikerin bzw. biomedizinischer analytiker,out_of_scope,,biomedizinisch,karriere
karriere:7809515,Student (m/w/d) für eine Abschlussarbeit im Bereich automatisierte Qualitätsprüfung mit KI und Kamerasystemen,student für eine abschlussarbeit im bereich automatisierte qualitätsprüfung mit ki und kamerasystemen,out_of_scope,,no_rule_matched,karriere
linkedin:4463577704,Mitarbeiter:in im Fuhrparkmanagement mit Schwerpunkt Performance Management und Analyse,mitarbeiter im fuhrparkmanagement mit schwerpunkt performance management und analyse,out_of_scope,,no_rule_matched,linkedin
