company_norm,postings,families,states,styria,graz_area,is_agency,sources,example_company
getzner - engineering a quiet future,1,business_analysis,Vorarlberg,0,0,False,linkedin,Getzner - engineering a quiet future
getontop,1,bi,Salzburg,0,0,False,eures,getontop
generali,1,data_analytics,Wien,0,0,False,linkedin,Generali Österreich
general logistics systems,1,data_analytics,Oberösterreich,0,0,False,karriere,General Logistics Systems Austria GmbH
gatx rail,1,business_analysis,Wien,0,0,False,jobsat,GATX Rail Austria GmbH
fundermax,1,bi,Kärnten,0,0,False,linkedin,Fundermax
flinn ai,1,bi,Wien,0,0,False,linkedin,Flinn.ai
flex althofen,1,data_analytics,Kärnten,0,0,False,karriere,Flex Althofen
flex,1,data_analytics,Kärnten,0,0,False,linkedin,Flex
finmatics,1,data_science,,0,0,False,linkedin,Finmatics
finanzmarktaufsicht personal,1,data_engineering,Wien,0,0,True,eures,Finanzmarktaufsicht Personal
finanzmarktaufsicht fma,1,data_engineering,Wien,0,0,False,jobsat,Finanzmarktaufsicht (FMA)
ferchau,1,data_engineering,Tirol,0,0,False,karriere,FERCHAU Austria GmbH
fahrzeugelektrik aspöck systems,1,data_engineering,Oberösterreich,0,0,False,eures,Fahrzeugelektrik Aspöck Systems
ey,1,data_engineering,Wien,0,0,False,karriere,EY Österreich
herold business data,1,data_engineering,Wien,0,0,False,jobsat,HEROLD Business Data GmbH
herold,1,data_engineering,Wien,0,0,False,linkedin,Herold
hendi - tools for chefs,1,data_engineering,Salzburg,0,0,False,linkedin,HENDI - Tools for Chefs
helvetia versicherungen,1,data_science,Wien,0,0,False,linkedin,Helvetia Versicherungen Österreich
heinzelpaper,1,data_engineering,Oberösterreich,0,0,False,linkedin,heinzelpaper
head,1,data_governance,Vorarlberg,0,0,False,linkedin,HEAD
hcltech,1,business_analysis,Wien,0,0,False,linkedin,HCLTech
hartlauer handelsgesellschaft m b h,1,marketing_analytics,Oberösterreich,0,0,False,linkedin,Hartlauer Handelsgesellschaft m.b.H.
hartlauer firmengruppe,1,marketing_analytics,Oberösterreich,0,0,False,eures,Hartlauer Firmengruppe
hammerer aluminium industries,1,bi,Oberösterreich,0,0,False,linkedin,Hammerer Aluminium Industries
haier kältetechnik,1,data_analytics,Wien,0,0,False,karriere,Haier Kältetechnik Austria GmbH
greiner packaging,1,data_analytics,Oberösterreich,0,0,False,linkedin,Greiner Packaging
greiner,1,data_analytics,Oberösterreich,0,0,False,linkedin,Greiner
greentube,1,data_engineering,Wien,0,0,False,karriere,Greentube GmbH
grass,1,data_analytics,Vorarlberg,0,0,False,eures,Grass
gls,1,data_analytics,Oberösterreich,0,0,False,willhaben,GLS Austria GmbH
horváth,1,bi,Wien,0,0,False,linkedin,Horváth
experts inside,1,data_engineering,Wien,0,0,False,linkedin,EXPERTS INSIDE
evn,1,data_governance,Niederösterreich,0,0,False,linkedin,EVN
eversports,1,data_science,Wien,0,0,False,linkedin,Eversports
ever pharma,1,business_analysis,Oberösterreich,0,0,False,karriere,EVER Pharma
ever neuro pharma,1,business_analysis,,0,0,False,jobsat,EVER Neuro Pharma GmbH
ev evg,1,bi,Oberösterreich,0,0,False,willhaben,EV Group (EVG)
ev e thallner,1,bi,Oberösterreich,0,0,False,eures,EV Group E. Thallner GmbH
ev,1,bi,Oberösterreich,0,0,False,linkedin,EV Group
european dynamics,1,data_science,Wien,0,0,False,linkedin,EUROPEAN DYNAMICS
europ assistance ges m b h,1,data_analytics,Wien,0,0,False,jobsat,Europ Assistance Ges.m.b.H.
eurofunk kappacher,1,bi,Salzburg,0,0,False,linkedin,eurofunk Kappacher GmbH
erste bank der oesterreichischen sparkassen erste bank,1,data_governance,Wien,0,0,False,jobsat,"Erste Bank der oesterreichischen Sparkassen AG (""Erste Bank"")"
equip,1,data_engineering,Niederösterreich,0,0,False,jobsat,Equip GmbH
holzindustrie binderholz,1,data_science,Tirol,0,0,False,eures,Holzindustrie Binderholz
hirschmann automotive,1,data_analytics,Vorarlberg,0,0,False,linkedin,Hirschmann Automotive
jumio corporation,1,data_science,,0,0,False,linkedin,Jumio Corporation
journi,1,product_analytics,Wien,0,0,False,linkedin,Journi
johannes kepler universität linz,1,data_science,Oberösterreich,0,0,False,linkedin,Johannes Kepler Universität Linz
job world,1,data_engineering,Oberösterreich,0,0,False,karriere,Job World GmbH
itsv,1,data_science,Wien,0,0,False,jobsat,ITSV GmbH
isi,1,data_analytics,Wien,0,0,False,linkedin,iSi Group
isg personalmanagement,1,data_governance,Wien,0,0,True,linkedin,ISG Personalmanagement GmbH
intermedix,1,data_science,Niederösterreich,0,0,False,jobsat,intermedix Österreich GesmbH
innio jenbacher,1,data_science,Tirol,0,0,False,jobsat,INNIO Jenbacher GmbH
industrie informatik,1,data_governance,Oberösterreich,0,0,False,jobsat,Industrie Informatik GmbH
ims nanofabrication,1,data_analytics,Niederösterreich,0,0,False,jobsat,IMS Nanofabrication GmbH
imendo,1,data_science,Kärnten,0,0,False,eures,Imendo
idm energiesysteme,1,data_governance,Tirol,0,0,False,linkedin,iDM Energiesysteme GmbH
hutchison drei,1,marketing_analytics,Wien,0,0,False,karriere,Hutchison Drei Austria GmbH
huspy,1,marketing_analytics,,0,0,False,linkedin,Huspy
hostinger,1,marketing_analytics,Wien,0,0,False,linkedin,Hostinger
epig,1,data_analytics,Steiermark,1,1,False,willhaben,EPIG GmbH
enery,1,data_engineering,Wien,0,0,False,linkedin,Enery
elk,1,data_engineering,Niederösterreich,0,0,False,linkedin,ELK
ebcont,1,data_science,Oberösterreich,0,0,False,jobsat,EBCONT
eaton,1,business_analysis,Wien,0,0,False,linkedin,Eaton
easelink,1,business_analysis,Steiermark,1,1,False,eures,Easelink
