family_before,sample_pos,posting_uid,title,normalized_title_before,manual_label,family_after,normalized_title_after,kept_in_family_after
business_analysis,5,eures:MTcyODM4MTIgNDM,IT Business Analyst (m/w/d),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,6,eures:MTczMDM4OTEgNDM,Functional Analyst - Human Ressources (w/m/d),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,7,willhaben:13232913,IT Business Analyst - Retail Applications (m/w/d),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,8,karriere:7834403,Senior IT-Analyst (w/m/d) Security Analysis,Business Analyst,FP,out_of_scope,,False
business_analysis,9,eures:MTczMzk1NDMgNDM,IT-Analyst,Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,10,eures:MTczMzQ4MTMgNDM,IT Solution Engineer - Applications & Business Processes,Business Analyst,FP,business_analysis,Business Analyst,True
business_analysis,11,linkedin:4413357174,Process Manager Product Development (M/F/D)*,Business Analyst,borderline,out_of_scope,,False
business_analysis,12,linkedin:4444429357,Product Owner (m/w/x) - Customer Masterdata,Business Analyst,borderline,business_analysis,Business Analyst,True
business_analysis,13,linkedin:4455786237,Business Process Manager (w/m/d) Process Excellence,Business Analyst,borderline,business_analysis,Business Analyst,True
business_analysis,14,karriere:7866457,Digital Lending Business Analyst (w/m/d) Domain Expert - Technology Consulting,Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,15,eures:MTcyODk4MDQgNDM,Business Analyst (m/w/d),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,16,linkedin:4468233950,IT Business Analyst Finance & ERP (all gender),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,17,eures:MTczNTA0MzMgNDM,Business Analyst/ Produktmanager*in (w/m/d) Transaktionskommunikation,Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,18,karriere:7767974,IT Solution Analyst – ESB & Architecture (m/w/d),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,19,eures:MTczMDUyOTYgNDM,Business Analyst mit Projektmanagement (m/w/x),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,20,karriere:7855880,Business Analyst (Teilzeit oder Vollzeit Karenzvertretung),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,21,linkedin:4427725697,Business Analyst - Produktion (m/w/d),Business Analyst,TP,business_analysis,Business Analyst,True
business_analysis,22,linkedin:4464123195,Business Process Owner - Finance and Controlling,Business Analyst,borderline,business_analysis,Business Analyst,True
